latest quarter,country,annual percent change
2018q2,Ukraine,-15.24365
2018q2,Qatar,-13.57627
2018q3,United Arab Emirates,-10.9202
2018q3,Turkey,-7.635202
2017q4,Serbia,-4.337017
2018q2,Sweden,-3.578286
2018q2,Brazil,-3.012326
2018q2,Australia,-2.64047
2018q2,Peru,-2.309639
2017q4,Morocco,-1.218778
2018q2,Italy,-1.130677
2018q3,Switzerland,-1.013803
2018q3,Vietnam,-0.9734852
2018q2,Israel,-0.9656215
2018q3,Canada,-0.9312284
2018q2,Russia,-0.8336886
2018q2,Romania,-0.6935546
2018q3,South Africa,-0.6913657
2018q2,Kazakhstan,-0.3924677
2018q2,Finland,-0.3122267
2018q3,Norway,-0.283618
2018q2,Indonesia,0.0365573
2018q2,Cyprus,0.4574708
2018q2,Korea,0.4601133
2018q2,Malaysia,0.5535344
2018q2,France,0.9119342
2018q2,United Kingdom,0.9913874
2018q2,India,1.279001
2017q4,Taiwan,1.343757
2018q3,Greece,1.523148
2018q2,Japan,1.543171
2018q2,Belgium,2.058698
2017q4,Chile,2.123795
2018q3,Iceland,2.211986
2018q2,Austria,2.897556
2018q2,Croatia,3.192332
2018q2,New Zealand,3.232375
2018q2,Colombia,3.273705
2018q3,China,3.352167
2018q2,United States,3.5284
2018q2,Denmark,3.833264
2018q2,Estonia,3.903311
2018q2,Slovak Republic,4.111855
2018q2,Poland,4.197396
2018q1,Lithuania,4.324393
2018q2,Luxembourg,4.607274
2018q2,Malta,4.634814
2018q3,Thailand,4.754131
2018q2,Bulgaria,4.768726
2018q2,Spain,4.928206
2018q2,Philippines,4.939072
2018q2,Czech Republic,5.082986
2018q2,Mexico,5.093513
2018q1,Macedonia,5.310811
2018q2,Germany,5.482151
2018q2,Latvia,6.130882
2018q2,Hungary,7.659667
2018q2,Netherlands,7.961733
2018q2,Singapore,8.713243
2018q2,Portugal,10.17455
2018q2,Slovenia,11.25461
2018q2,Ireland,12.41376
2018q3,Hong Kong,13.10336
